商品ID,商品名称,规格,条码,折扣价,原价,skuid
952083660422,【西服+西裤】外套伴郎正装套装质感职业西服西装裤子上衣男士上装商务上班工作/套 韩版修身,尺码: L,"wm47078047335210,wm45084959453241,wm54481415326013,wm64552708653847",121.44,138,6032921282437
952083660422,【西服+西裤】外套伴郎正装套装质感职业西服西装裤子上衣男士上装商务上班工作/套 韩版修身,尺码: XL,"wm47078047335210,wm45084959453241,wm54481415326013,wm64552708653847",121.44,138,5867959061943
952083660422,【西服+西裤】外套伴郎正装套装质感职业西服西装裤子上衣男士上装商务上班工作/套 韩版修身,尺码: 2XL,"wm47078047335210,wm45084959453241,wm54481415326013,wm64552708653847",121.44,138,5867958857895
952083660422,【西服+西裤】外套伴郎正装套装质感职业西服西装裤子上衣男士上装商务上班工作/套 韩版修身,尺码: 3XL,"wm47078047335210,wm45084959453241,wm54481415326013,wm64552708653847",121.44,138,5866390272807
949033331703,【米色】皮带女生仿古复古简约女学生细款皮带女士韩版削边牛仔裤 裤腰带1根,,6903602581066,18.75,25,949033331703
949490102206,爆款直播饰品经典小蛮腰吊坠项链女小众情人节礼物/个,,2080602450920,12.45,16.6,949490102206
949508542119,铃铛皮革项链 小众设计感独特项圈 新款高级颈链choker配饰女／套,,6901469850882,18.75,25,949508542119
949026795141,挂钩洗漱包便携手提化妆包大容量干湿分离洗漱袋旅行出差收纳包 米色/个,,2080254338607,17.1,22.8,949026795141
949021535790,编发飘带发箍2024新款女款绑头发丝巾一体头箍高级感压发发卡头饰 颜色随机/个,,6957798589641,8.96,12.8,949021535790
949014839735,裙两件感纯欲挂脖上衣高腰显瘦半身套挂脖上衣女+高腰半身裙/套新款高级套装,规格: M(80-100斤),"6904122130772,822782882748,81208134145",112.64,128,6029817867514
949014839735,裙两件感纯欲挂脖上衣高腰显瘦半身套挂脖上衣女+高腰半身裙/套新款高级套装,规格: L(100-120斤),"6904122130772,822782882748,81208134145",112.64,128,6029817787715
949014839735,裙两件感纯欲挂脖上衣高腰显瘦半身套挂脖上衣女+高腰半身裙/套新款高级套装,规格: XL(120-140斤),"6904122130772,822782882748,81208134145",112.64,128,5862190228206
989644165869,鹿拓冬季雪尼尔男士毛衣加绒加厚针织衫男纯色圆领保暖卫衣黑色/件,规格: L(120-135斤),"wm86468751784596,wm48343156322785,wm11797035097336,wm56934556046785,wm38420755059919",51.5,62.8,5956522801607
989644165869,鹿拓冬季雪尼尔男士毛衣加绒加厚针织衫男纯色圆领保暖卫衣黑色/件,规格: XL(135-150斤),"wm86468751784596,wm48343156322785,wm11797035097336,wm56934556046785,wm38420755059919",51.5,62.8,6121187370215
989644165869,鹿拓冬季雪尼尔男士毛衣加绒加厚针织衫男纯色圆领保暖卫衣黑色/件,规格: 2XL(150-165斤),"wm86468751784596,wm48343156322785,wm11797035097336,wm56934556046785,wm38420755059919",51.5,62.8,6121187170984
989644165869,鹿拓冬季雪尼尔男士毛衣加绒加厚针织衫男纯色圆领保暖卫衣黑色/件,规格: 3XL(165-180斤),"wm86468751784596,wm48343156322785,wm11797035097336,wm56934556046785,wm38420755059919",51.5,62.8,5955250340796
989644165869,鹿拓冬季雪尼尔男士毛衣加绒加厚针织衫男纯色圆领保暖卫衣黑色/件,规格: 4XL(180-200斤),"wm86468751784596,wm48343156322785,wm11797035097336,wm56934556046785,wm38420755059919",51.5,62.8,6121187142675
986846971586,连帽卫衣男新款春秋季上衣日系潮牌男生宽松帽衫外套/件,尺码: XL,"wm62658363990276,wm65373290134495,wm35878539376423,wm53524220187537",31.52,39.9,6117943250372
986846971586,连帽卫衣男新款春秋季上衣日系潮牌男生宽松帽衫外套/件,尺码: 2XL,"wm62658363990276,wm65373290134495,wm35878539376423,wm53524220187537",31.52,39.9,5953268285463
986846971586,连帽卫衣男新款春秋季上衣日系潮牌男生宽松帽衫外套/件,尺码: 3XL,"wm62658363990276,wm65373290134495,wm35878539376423,wm53524220187537",31.52,39.9,6118738635490
986846971586,连帽卫衣男新款春秋季上衣日系潮牌男生宽松帽衫外套/件,尺码: 4XL,"wm62658363990276,wm65373290134495,wm35878539376423,wm53524220187537",31.52,39.9,6118738491225
980390401403,流行爆款漂亮仿水貂绒毛衣女外套高级感慵懒风软糯针织开衫白色上衣/件,尺码: M(95-105斤),"wm06584365144150,wm54921612499926,wm03334964715893",77.9,95,5937876393579
980390401403,流行爆款漂亮仿水貂绒毛衣女外套高级感慵懒风软糯针织开衫白色上衣/件,尺码: L(105-115斤),"wm06584365144150,wm54921612499926,wm03334964715893",77.9,95,5937876369193
980390401403,流行爆款漂亮仿水貂绒毛衣女外套高级感慵懒风软糯针织开衫白色上衣/件,尺码: XL(115-125斤),"wm06584365144150,wm54921612499926,wm03334964715893",77.9,95,5937876225652
949030223732,套装女新款纯欲蕾丝吊带连衣裙修身显瘦包臀短裙+防晒开衫两件套,规格: S码(80-90斤),"6901723581521,6901665444809,6901555415155",110,125,6029851551910
949030223732,套装女新款纯欲蕾丝吊带连衣裙修身显瘦包臀短裙+防晒开衫两件套,规格: M码(90-100斤),"6901723581521,6901665444809,6901555415155",110,125,5862224448919
949030223732,套装女新款纯欲蕾丝吊带连衣裙修身显瘦包臀短裙+防晒开衫两件套,规格: L码(100-110斤),"6901723581521,6901665444809,6901555415155",110,125,6029851551911
949043195410,佳选 纯欲腮红眼镜女黑框素颜神器自带妆感显瘦眼镜框ins初恋风高级感 一个,,6902155031172,13.5,18,949043195410
950685312831,辣妹侧开叉收腰显瘦背心连衣裙 女夏季新款黑色过膝修身无袖包臀裙 一件,规格: S码（90-102斤）,"6904136154450,2080531500451,6904085865919",37.92,48,5862253512192
950685312831,辣妹侧开叉收腰显瘦背心连衣裙 女夏季新款黑色过膝修身无袖包臀裙 一件,规格: M码（101-114斤）,"6904136154450,2080531500451,6904085865919",37.92,48,6029881027459
950685312831,辣妹侧开叉收腰显瘦背心连衣裙 女夏季新款黑色过膝修身无袖包臀裙 一件,规格: L码,"6904136154450,2080531500451,6904085865919",37.92,48,6029881031188
950686136720,圣诞氛围饰品 高级感铃铛皮革项圈 朋克禁欲系甜酷辣妹choker颈链女／条,,6902435245565,8.4,12,950686136720
950133073874,纯欲内搭花边小吊带 白色纯棉背心短款ins风外穿打底上衣 一件,,6901191898350,25.28,32,950133073874
949494546885,旅行健身包 潮流大容量手提包干湿分离防水运动游泳健身斜挎包行李袋收纳袋 黑色一个,,6901203012941,39.42,49.9,949494546885
950128993333,夏季遮阳帽 黑米双拼色女士时尚防晒百搭太阳帽渔夫帽 一顶,,6902330757064,14.63,19.5,950128993333
949034295483,秋冬新款披肩外搭办公室午睡毯子仿羊绒围巾印花流苏保暖围巾 70*180cm/条,,2080290998223,43.38,52.9,949034295483
949510106254,胸包男ins潮流小包防水日系休闲斜挎包运动挎包男士腰包女单肩包／个,规格: 白色,"2080313759374,6901582357589",22.12,28,6028831934379
949510106254,胸包男ins潮流小包防水日系休闲斜挎包运动挎包男士腰包女单肩包／个,规格: 黑色,"2080313759374,6901582357589",22.12,28,6029895659389
949041963693,校服套装 匆匆那年蓝白男女同款大学生网红同款运动会开幕式服装／套,规格: 180cm（身高172-180m）,"6903266142009,6903382097962",103.84,118,6029880379083
949041963693,校服套装 匆匆那年蓝白男女同款大学生网红同款运动会开幕式服装／套,规格: 170cm（身高162-170m）,"6903266142009,6903382097962",103.84,118,6029879951403
949014531423,甜美纯欲温柔风无袖挂脖连衣裙子女夏季新款修身显瘦气质a字短裙香槟金/件,规格: S(建议80-95斤),"732551304728,6935324616603,948284185525,55298703888",121.44,138,6029816563849
949014531423,甜美纯欲温柔风无袖挂脖连衣裙子女夏季新款修身显瘦气质a字短裙香槟金/件,规格: M(建议95-105斤),"732551304728,6935324616603,948284185525,55298703888",121.44,138,5863775349329
949014531423,甜美纯欲温柔风无袖挂脖连衣裙子女夏季新款修身显瘦气质a字短裙香槟金/件,规格: L( 建议105-115斤),"732551304728,6935324616603,948284185525,55298703888",121.44,138,5863775257260
949014531423,甜美纯欲温柔风无袖挂脖连衣裙子女夏季新款修身显瘦气质a字短裙香槟金/件,规格: XL(建议115-125斤),"732551304728,6935324616603,948284185525,55298703888",121.44,138,6028753886797
981054572478,超显白奶里奶气韩系穿搭短款卫衣外套女连帽卫衣薄款拉链开衫外穿/件,尺码: M(86-105斤),"wm58242578720094,wm15962372631268,wm38992907214210",49.12,59.9,6102598286888
981054572478,超显白奶里奶气韩系穿搭短款卫衣外套女连帽卫衣薄款拉链开衫外穿/件,尺码: L(106-120斤),"wm58242578720094,wm15962372631268,wm38992907214210",49.12,59.9,6103446811186
981054572478,超显白奶里奶气韩系穿搭短款卫衣外套女连帽卫衣薄款拉链开衫外穿/件,尺码: XL(121-135斤),"wm58242578720094,wm15962372631268,wm38992907214210",49.12,59.9,6102598762623
949047527082,冰丝透气防晒衣女 夏季新款宽松透气焦下时尚连帽防晒服开衫外套 1件,规格: 灰色 L码,"6901866810878,6901921010823,6902034759760",65.52,79.9,6028828798301
949047527082,冰丝透气防晒衣女 夏季新款宽松透气焦下时尚连帽防晒服开衫外套 1件,规格: 灰色 XL码,"6901866810878,6901921010823,6902034759760",65.52,79.9,6028828278855
949047527082,冰丝透气防晒衣女 夏季新款宽松透气焦下时尚连帽防晒服开衫外套 1件,规格: 灰色 XXL码,"6901866810878,6901921010823,6902034759760",65.52,79.9,6028828638395
949499454719,佳选 辣妹一字肩蕾丝连衣裙 女秋冬季新款气质内搭紧身显瘦长袖包臀裙子／件,规格: L码（95-110）件,"2080233839477,6901333645422",45.1,55,6028806254289
949499454719,佳选 辣妹一字肩蕾丝连衣裙 女秋冬季新款气质内搭紧身显瘦长袖包臀裙子／件,规格: M码（80-95）件,"2080233839477,6901333645422",45.1,55,5862241292972
950669100393,糯米春秋两件套时尚气质显瘦套装连帽百搭洋气长袖秋装阔腿裤/套,规格: M,"468725251538,480559503969,585611502965,4550344977514",80.36,98,6028779902734
950669100393,糯米春秋两件套时尚气质显瘦套装连帽百搭洋气长袖秋装阔腿裤/套,规格: L,"468725251538,480559503969,585611502965,4550344977514",80.36,98,5863801569512
950669100393,糯米春秋两件套时尚气质显瘦套装连帽百搭洋气长袖秋装阔腿裤/套,规格: XL,"468725251538,480559503969,585611502965,4550344977514",80.36,98,5863801717321
950669100393,糯米春秋两件套时尚气质显瘦套装连帽百搭洋气长袖秋装阔腿裤/套,规格: XXL,"468725251538,480559503969,585611502965,4550344977514",80.36,98,6028779990760
988847947802,【尺码偏大可选】海澜之家2025新款抗菌棉拖鞋男女厚底居家冬季防寒保暖防滑棉拖鞋/双,规格: 40-41,"wm70051996338617,wm54512169846841,wm02138559973052",57.32,69.9,6122446930371
988847947802,【尺码偏大可选】海澜之家2025新款抗菌棉拖鞋男女厚底居家冬季防寒保暖防滑棉拖鞋/双,规格: 42-43,"wm70051996338617,wm54512169846841,wm02138559973052",57.32,69.9,6122446598670
988847947802,【尺码偏大可选】海澜之家2025新款抗菌棉拖鞋男女厚底居家冬季防寒保暖防滑棉拖鞋/双,规格: 44-45,"wm70051996338617,wm54512169846841,wm02138559973052",57.32,69.9,5957783129895
990175857623,羊羔绒毛毛拖鞋女秋冬外穿2025新款厚底包头半拖外出冬天懒人棉拖/双,鞋码: 35,"wm60410188001822,wm56377334862108,wm84334633895888,wm84719010643567,wm84190664194300",57.32,69.9,6122440730966
990175857623,羊羔绒毛毛拖鞋女秋冬外穿2025新款厚底包头半拖外出冬天懒人棉拖/双,鞋码: 36,"wm60410188001822,wm56377334862108,wm84334633895888,wm84719010643567,wm84190664194300",57.32,69.9,5957777441805
990175857623,羊羔绒毛毛拖鞋女秋冬外穿2025新款厚底包头半拖外出冬天懒人棉拖/双,鞋码: 37,"wm60410188001822,wm56377334862108,wm84334633895888,wm84719010643567,wm84190664194300",57.32,69.9,5956510292817
990175857623,羊羔绒毛毛拖鞋女秋冬外穿2025新款厚底包头半拖外出冬天懒人棉拖/双,鞋码: 38,"wm60410188001822,wm56377334862108,wm84334633895888,wm84719010643567,wm84190664194300",57.32,69.9,6122441174244
990175857623,羊羔绒毛毛拖鞋女秋冬外穿2025新款厚底包头半拖外出冬天懒人棉拖/双,鞋码: 39,"wm60410188001822,wm56377334862108,wm84334633895888,wm84719010643567,wm84190664194300",57.32,69.9,5957777545425
988099887206,棉拖鞋女冬情侣居家待客加绒防滑保暖月子鞋室内毛拖鞋/1双,规格: 粉色40-41,"wm31384781788486,wm60166842834278,wm64796607649803",14.93,19.9,5954522396348
988099887206,棉拖鞋女冬情侣居家待客加绒防滑保暖月子鞋室内毛拖鞋/1双,规格: 粉色38-39,"wm31384781788486,wm60166842834278,wm64796607649803",14.93,19.9,5954522264362
988099887206,棉拖鞋女冬情侣居家待客加绒防滑保暖月子鞋室内毛拖鞋/1双,规格: 粉色36-37,"wm31384781788486,wm60166842834278,wm64796607649803",14.93,19.9,6121257667088
988099043969,棉拖鞋情侣居家待客加绒防滑保暖鞋室内毛拖鞋男/1双,规格: 灰色44-45,"wm35226162019992,wm33116334402563,wm59610076016094",14.93,19.9,6120462654592
988099043969,棉拖鞋情侣居家待客加绒防滑保暖鞋室内毛拖鞋男/1双,规格: 灰色42-43,"wm35226162019992,wm33116334402563,wm59610076016094",14.93,19.9,5954521592165
988099043969,棉拖鞋情侣居家待客加绒防滑保暖鞋室内毛拖鞋男/1双,规格: 灰色40-41,"wm35226162019992,wm33116334402563,wm59610076016094",14.93,19.9,6120462954007
988165201439,春秋棉拖鞋四季冬天女室内居家用棉麻布防滑亚麻家居情侣,规格: 粉色36-37,"wm53753164335691,wm47413413199676,wm67374966793665",17.1,22.8,5952008244902
988165201439,春秋棉拖鞋四季冬天女室内居家用棉麻布防滑亚麻家居情侣,规格: 粉色38-39,"wm53753164335691,wm47413413199676,wm67374966793665",17.1,22.8,6118753503546
988165201439,春秋棉拖鞋四季冬天女室内居家用棉麻布防滑亚麻家居情侣,规格: 粉色40-41,"wm53753164335691,wm47413413199676,wm67374966793665",17.1,22.8,5953283325521
987410398427,春秋棉拖鞋四季冬天男士室内居家用棉麻布防滑亚麻家居情侣,规格: 蓝色40-41,"wm50679917155699,wm47569335429617",17.1,22.8,6117952966250
987410398427,春秋棉拖鞋四季冬天男士室内居家用棉麻布防滑亚麻家居情侣,规格: 蓝色42-43,"wm50679917155699,wm47569335429617",17.1,22.8,6117952322869
970188860619,2025新款男士女士米白色勃肯拖鞋夏季新款百搭外穿防滑通勤男女士包头拖鞋（踩屎感增高）米白/双,规格: 38-39,"wm31297334036330,wm62307413064288,wm68644076294376,wm41322223155970",29.22,36.99,5918032017767
970188860619,2025新款男士女士米白色勃肯拖鞋夏季新款百搭外穿防滑通勤男女士包头拖鞋（踩屎感增高）米白/双,规格: 40-41,"wm31297334036330,wm62307413064288,wm68644076294376,wm41322223155970",29.22,36.99,6082805318316
970188860619,2025新款男士女士米白色勃肯拖鞋夏季新款百搭外穿防滑通勤男女士包头拖鞋（踩屎感增高）米白/双,规格: 42-43,"wm31297334036330,wm62307413064288,wm68644076294376,wm41322223155970",29.22,36.99,5916640960122
970188860619,2025新款男士女士米白色勃肯拖鞋夏季新款百搭外穿防滑通勤男女士包头拖鞋（踩屎感增高）米白/双,规格: 44-45,"wm31297334036330,wm62307413064288,wm68644076294376,wm41322223155970",29.22,36.99,5918032337933
949025707754,厚底拖鞋女士夏季外穿踩屎感软底轻便居家用情侣室内简约凉托鞋绿色/双,规格: 36-37,"2080198897864,2080507369433,2080743525846",12.6,16.8,5862213920708
949025707754,厚底拖鞋女士夏季外穿踩屎感软底轻便居家用情侣室内简约凉托鞋绿色/双,规格: 38-39,"2080198897864,2080507369433,2080743525846",12.6,16.8,6028778866188
949025707754,厚底拖鞋女士夏季外穿踩屎感软底轻便居家用情侣室内简约凉托鞋绿色/双,规格: 40-41,"2080198897864,2080507369433,2080743525846",12.6,16.8,5862214100239
950669340782,厚底拖鞋男士夏季外穿踩屎感软底轻便居家用情侣室内简约凉托鞋男黑色 /双,规格: 40-41,"2080575269116,2080541972927,2080198710484",12.6,16.8,6028781058098
950669340782,厚底拖鞋男士夏季外穿踩屎感软底轻便居家用情侣室内简约凉托鞋男黑色 /双,规格: 42-43,"2080575269116,2080541972927,2080198710484",12.6,16.8,6028780370874
950669340782,厚底拖鞋男士夏季外穿踩屎感软底轻便居家用情侣室内简约凉托鞋男黑色 /双,规格: 44-45,"2080575269116,2080541972927,2080198710484",12.6,16.8,5863802369698
950123353647,灰色珊瑚绒加厚一次性拖鞋 高档酒店民宿美容院专用防滑平板拖鞋 一双,,6901631343426,8.33,11.9,950123353647
949023863296,洞洞鞋女加厚底增高夏季外穿包头防滑防臭卡通网红新款沙滩EVA凉鞋,规格: 36-37,"wm58202139157315,wm78040508655025,wm26620274335798",23.62,29.9,6036057482121
949023863296,洞洞鞋女加厚底增高夏季外穿包头防滑防臭卡通网红新款沙滩EVA凉鞋,规格: 38-39,"wm58202139157315,wm78040508655025,wm26620274335798",23.62,29.9,6037107643847
949023863296,洞洞鞋女加厚底增高夏季外穿包头防滑防臭卡通网红新款沙滩EVA凉鞋,规格: 40-41,"wm58202139157315,wm78040508655025,wm26620274335798",23.62,29.9,6036057038687
949486286313,踩屎感男夏季洞洞鞋透气外穿厚底防滑网红镂空户外休闲沙滩凉拖鞋耐脏,规格: 40-41,"987637358583,748216477544,wm28741528644185",22.75,28.8,5862211748158
949486286313,踩屎感男夏季洞洞鞋透气外穿厚底防滑网红镂空户外休闲沙滩凉拖鞋耐脏,规格: 42-43,"987637358583,748216477544,wm28741528644185",22.75,28.8,5863798021069
949486286313,踩屎感男夏季洞洞鞋透气外穿厚底防滑网红镂空户外休闲沙滩凉拖鞋耐脏,规格: 44-45,"987637358583,748216477544,wm28741528644185",22.75,28.8,5882864492605
950671900923,新款冬季防水壳子棉拖鞋保暖女士外穿ins防滑居家网红可拆棉拖鞋 一双（码数偏小）,规格: 36-37,"2080101268347,2080364913824,2080198667887",26.78,33.9,6029849123826
950671900923,新款冬季防水壳子棉拖鞋保暖女士外穿ins防滑居家网红可拆棉拖鞋 一双（码数偏小）,规格: 38-39,"2080101268347,2080364913824,2080198667887",26.78,33.9,6029849235549
950671900923,新款冬季防水壳子棉拖鞋保暖女士外穿ins防滑居家网红可拆棉拖鞋 一双（码数偏小）,规格: 40-41,"2080101268347,2080364913824,2080198667887",26.78,33.9,5862222080091
950677948391,防水棉拖鞋男女士冬季2025新款室内家居老人防滑棉鞋包跟女外穿冬天,规格: 男44-45,"6972384257094,2080399204386,2080394964773,2080629156058,2080469749441,2080233832836",33.89,42.9,6029861911964
950677948391,防水棉拖鞋男女士冬季2025新款室内家居老人防滑棉鞋包跟女外穿冬天,规格: 男42-43,"6972384257094,2080399204386,2080394964773,2080629156058,2080469749441,2080233832836",33.89,42.9,5862235292001
950677948391,防水棉拖鞋男女士冬季2025新款室内家居老人防滑棉鞋包跟女外穿冬天,规格: 男40-41,"6972384257094,2080399204386,2080394964773,2080629156058,2080469749441,2080233832836",33.89,42.9,5863821705432
950677948391,防水棉拖鞋男女士冬季2025新款室内家居老人防滑棉鞋包跟女外穿冬天,规格: 女40-41,"6972384257094,2080399204386,2080394964773,2080629156058,2080469749441,2080233832836",33.89,42.9,6028799498548
950677948391,防水棉拖鞋男女士冬季2025新款室内家居老人防滑棉鞋包跟女外穿冬天,规格: 女38-39,"6972384257094,2080399204386,2080394964773,2080629156058,2080469749441,2080233832836",33.89,42.9,6028799170821
950677948391,防水棉拖鞋男女士冬季2025新款室内家居老人防滑棉鞋包跟女外穿冬天,规格: 女36-37,"6972384257094,2080399204386,2080394964773,2080629156058,2080469749441,2080233832836",33.89,42.9,5862234508986
950111133859,【7cm】透明高跟鞋夏季新款防水台粗跟裸色厚底水晶凉鞋拖鞋女外穿/一双,规格: 35,"179395485545,940317643063,335724406376,111793810354,260907778328",33.81,42.8,6029839347895
950111133859,【7cm】透明高跟鞋夏季新款防水台粗跟裸色厚底水晶凉鞋拖鞋女外穿/一双,规格: 36,"179395485545,940317643063,335724406376,111793810354,260907778328",33.81,42.8,5863797985921
950111133859,【7cm】透明高跟鞋夏季新款防水台粗跟裸色厚底水晶凉鞋拖鞋女外穿/一双,规格: 37,"179395485545,940317643063,335724406376,111793810354,260907778328",33.81,42.8,5863798321042
950111133859,【7cm】透明高跟鞋夏季新款防水台粗跟裸色厚底水晶凉鞋拖鞋女外穿/一双,规格: 38,"179395485545,940317643063,335724406376,111793810354,260907778328",33.81,42.8,5863797769939
950111133859,【7cm】透明高跟鞋夏季新款防水台粗跟裸色厚底水晶凉鞋拖鞋女外穿/一双,规格: 39,"179395485545,940317643063,335724406376,111793810354,260907778328",33.81,42.8,5863797753853
950124105956,加厚脚后跟贴 半码垫不跟脚鞋贴防磨脚贴鞋跟贴隐形垫 一对,,6903460770299,2.5,4.99,950124105956
950129053670,[3.5cm男女通用】踩屎感内增高鞋垫 爆米花舒适脚感运动鞋垫增高全垫 一双,规格: 39-40,"6902157017037,6902238458483,6902397146931,2080340616787,6902317435220",8.96,12.8,6028815982449
950129053670,[3.5cm男女通用】踩屎感内增高鞋垫 爆米花舒适脚感运动鞋垫增高全垫 一双,规格: 35-36,"6902157017037,6902238458483,6902397146931,2080340616787,6902317435220",8.96,12.8,6029880479028
